category,market_slug,event_slug,condition_id,title,resolution,status,open_time,close_time,settlement_ts,volume
Financials,wormhole-airdrop-in-may,when-will-wormhole-airdrop,0x6c829ecd47e810fc92a022923ec865cc67bf91ba20817acfa7139c393a614614,Wormhole airdrop in May?,No,closed,2024-02-07T21:19:00Z,2024-05-30T00:00:00Z,2024-04-03T14:59:39Z,2162
Financials,wormhole-airdrop-in-june,when-will-wormhole-airdrop,0xd2738c991f451e055a883575c5cbef8479552775a6acf87a7a7cd4df626521f2,Wormhole airdrop in June?,No,closed,2024-02-07T21:19:00Z,2024-06-29T00:00:00Z,2024-04-03T14:59:27Z,3422.16
Financials,wormhole-airdrop-in-february,when-will-wormhole-airdrop,0xbde1dca93dcdb80339a80c7118298d7eac20644d1421174d01cdfb0fbad2e73a,Wormhole airdrop in February?,No,closed,2024-02-07T21:18:00Z,2024-02-28T00:00:00Z,2024-03-01T08:17:15Z,22975.9
Financials,will-farcasters-growth-peak-on-monday,which-day-will-farcasters-daily-user-growth-stop,0x24cfed20ffba158dc064fd0234625f8522e64a6a01b81e01d9570bec58169e1c,Will Farcaster's growth peak on Monday?,No,closed,2024-02-02T20:30:00Z,2024-02-07T00:00:00Z,2024-02-23T10:00:29Z,1200
Financials,will-farcasters-growth-peak-on-tuesday,which-day-will-farcasters-daily-user-growth-stop,0x78f1571321ee0077511d4d22a2a879b89a77eb4008a8e7f72634785a1ca06a4f,Will Farcaster's growth peak on Tuesday?,No,closed,2024-02-02T20:30:00Z,2024-02-07T00:00:00Z,2024-02-23T11:01:24Z,400
Financials,will-farcasters-growth-peak-on-sunday,which-day-will-farcasters-daily-user-growth-stop,0x098fa5473a6207edb9b8ba8bf09f28decfc71afc894297834ca156f6cb78d6e0,Will Farcaster's growth peak on Sunday?,No,closed,2024-02-02T20:29:00Z,2024-02-07T00:00:00Z,2024-02-12T10:46:13Z,4437.22
Financials,will-farcasters-growth-peak-on-saturday,which-day-will-farcasters-daily-user-growth-stop,0x32cdbe82784b40ad52939855353cdbafe97029537a50ca041db758ed95824be3,Will Farcaster's growth peak on Saturday?,No,closed,2024-02-02T20:29:00Z,2024-02-07T00:00:00Z,2024-02-05T15:32:35Z,1000
Financials,will-farcasters-growth-peak-on-thursday,which-day-will-farcasters-daily-user-growth-stop,0xc85a14a6a09e212d9cd13991a45871000a134022806c97f6f1c2cba4bcd21664,Will Farcaster's growth peak on Thursday?,No,closed,2024-02-02T20:29:00Z,2024-02-07T00:00:00Z,2024-02-05T06:18:38Z,1474
Financials,will-farcasters-growth-peak-on-friday,which-day-will-farcasters-daily-user-growth-stop,0xf3245683868f2972cdde6ddedfeb3cd29d0793b5d680641c36a93fb4ffb3e7ac,Will Farcaster's growth peak on Friday?,No,closed,2024-02-02T20:29:00Z,2024-02-07T00:00:00Z,2024-02-05T06:32:50Z,925
Financials,new-zhu-sukyle-davies-crypto-company-before-march,new-zhu-sukyle-davies-crypto-company-before-march,0x7cbf415b67389a4e465326ea03087fe28cde3a276bc54e4a5767e2735576a5ad,New Zhu Su/Kyle Davies crypto company before March?,No,closed,2024-02-01T21:47:00Z,2024-02-29T00:00:00Z,2024-03-01T08:00:32Z,16950.1
Financials,will-andrew-tate-launch-a-cryptocurrency-in-february,will-andrew-tate-launch-a-cryptocurrency-in-february,0x79728561b72dce4dce8c330d5ef38e5568633aad4a7bd14db8df4ef6df0e954b,Will Andrew Tate launch a cryptocurrency in February?,No,closed,2024-02-01T21:20:13Z,2024-02-29T00:00:00Z,2024-03-01T07:21:04Z,27972.2
Financials,us-bank-failure-in-february,us-bank-failure-in-february,0x1aade08d3f4bf510eeb6fb1da05481bc83df3326e8717fa7bcd41987f08cb783,US bank failure in February?,No,closed,2024-02-01T16:46:48Z,2024-02-29T00:00:00Z,2024-03-01T07:04:15Z,117046
